country	name	city	type	website	facebook	source
DE	Magix Wake- & Freizeitpark Grossbeeren	Grossbeeren	fullsize			waketricks
DE	Wasserskipark Zossen	Zossen	fullsize			waketricks
DE	Wake and Camp Ruhlsdorf	Marienwerder	fullsize			waketricks
DE	Wet & Wild Cablepark Velten	Velten	both			waketricks
DE	Wasserski Seilbahn Neubrandenburg	Neubrandenburg	fullsize			waketricks
DE	Supieria Rostock	Rostock	fullsize			waketricks
DE	Wasserski-Lift Zachun	Neu-Zachun	fullsize			waketricks
DE	Wasserski & Wakeboard Hamburg	Hamburg	fullsize			waketricks
DE	Wasserski & Wakeboard Neuhaus/Oste	Neuhaus (Oste)	fullsize			waketricks
DE	SPOTZ Wakeboard Park	Norderstedt	fullsize			waketricks
DE	Wasserski & Wakeboard Park Suesel	Suesel	fullsize			waketricks
DE	Wasserski Weissenhaeuser Strand	Weissenhaeuser Strand	fullsize			waketricks
DE	Wakepark Fehmarn	Fehmarn	system2			waketricks
DE	Wasserskipark Damp	Damp	fullsize			waketricks
DE	Beachclub Nethen	Rastede	fullsize			waketricks
DE	Hooksieler Skiterrassen	Hooksiel	fullsize			waketricks
DE	North Bound Aurich Beach & Wake	Tannenhausen	both			waketricks
DE	Blue Bay Spadener See	Schiffdorf	fullsize			waketricks
DE	Wakegarden Oyten	Oyten	system2			waketricks
DE	Wake & Ski Garbsen	Garbsen	fullsize			waketricks
DE	Wasserski & Wakeboard Kalletal	Kalletal	fullsize			waketricks
DE	Wasserski Paderborn	Paderborn	fullsize			waketricks
DE	Cable Park Twistesee	Bad Arolsen	fullsize			waketricks
DE	Hot Sport Seepark Niederweimar	Weimar (Lahn)	fullsize			waketricks
DE	Southlake Heuchelheim	Heuchelheim	fullsize			waketricks
DE	Wasserski & Wakeboard Paradies Kirchheim	Kirchheim	fullsize			waketricks
DE	Wasserski Salzgitter	Salzgitter	both			waketricks
DE	Wakepark Wolfsburg	Wolfsburg	fullsize			waketricks
DE	Wasserski Bernsteinsee	Sassenburg	fullsize			waketricks
DE	Wasserski Langenfeld	Langenfeld	both			waketricks
DE	Amici Beach Cablepark	Wassenberg	fullsize			waketricks
DE	Suedsee Wakepark Xanten	Xanten	fullsize			waketricks
DE	Wasserski Wedau / The Bricks	Duisburg	fullsize			waketricks
DE	Wasserskianlage Toeppersee	Duisburg-Rheinhausen	fullsize			waketricks
DE	Alfsee Wasserski	Rieste	fullsize			waketricks
DE	Wasserski Schloss Dankern	Haren (Ems)	both			waketricks
DE	Wasserski Bleibtreusee	Bruehl	fullsize			waketricks
DE	WakeClubCologne	Koeln	fullsize			waketricks
DE	DOCK5 Wasserski- & Wakeboardpark Dueren	Dueren	both			waketricks
DE	WakePark Triolago	Riol	both			waketricks
DE	Wasserski Hamm	Hamm	fullsize			waketricks
DE	TwinCable Beckum	Beckum	fullsize			waketricks
DE	wakeport Rhein-Main	Raunheim	system2			waketricks
DE	Wasserski + Wakeboarding Mannheim	Mannheim	fullsize			waketricks
DE	Wasserski St. Leon	St. Leon-Rot	fullsize			waketricks
DE	Wakepark Tunisee	Freiburg im Breisgau	fullsize			waketricks
DE	Wetsports Kiefersfelden Hoedenauer See	Kiefersfelden	fullsize			waketricks
DE	Wake and Groove Geisenfeld	Geisenfeld	fullsize			waketricks
DE	Wasserskipark Aschheim	Aschheim	fullsize			waketricks
DE	Chill and Wake Friedberg	Friedberg	fullsize			waketricks
DE	Turncable Thannhausen	Thannhausen	both			waketricks
DE	Inselsee Allgaeu	Blaichach	both			waketricks
DE	Wakepark Pfullendorf	Pfullendorf	both			waketricks
DE	Wasserski & Wakeboard Gufi See	Gundelfingen	fullsize			waketricks
DE	Wakepark Brombachsee	Absberg	both			waketricks
DE	WildWakePark Steinberg am See	Steinberg am See	fullsize			waketricks
DE	Wakepark Thulba	Thulba	fullsize			waketricks
DE	Wasserski Erfurt	Erfurt	fullsize			waketricks
DE	Agora Erlebnis Muldestausee	Muldestausee	fullsize			waketricks
DE	Blaue Lagune Wachtendonk	Wachtendonk	both			waketricks
DE	Cablesport Pinneberg	Pinneberg	fullsize			waketricks
DE	Wasserski Eilenburg	Eilenburg	fullsize			waketricks
DE	Wasserski Friedenhainsee	Parkstetten	fullsize			waketricks
DE	Wasserski Heede	Heede	fullsize			waketricks
DE	HighFive Niedersfeld	Niedersfeld	both			waketricks
DE	Wasserski Hohenweiden	Schkopau	fullsize			waketricks
DE	Wasserski Idafehn	Ostrhauderfehn	fullsize			waketricks
DE	Wasserski und Wakeboard Park Jagel	Jagel	fullsize			waketricks
DE	Joho Park Ribnitz-Damgarten	Ribnitz-Damgarten	fullsize			waketricks
DE	Wasserski Leipzig	Leipzig	fullsize			waketricks
DE	Loederburger See	Stassfurt	fullsize			waketricks
DE	Wasserski Petersdorf	Bad Saarow	fullsize			waketricks
DE	Wasserski Ruegen	Zirkow	fullsize			waketricks
DE	Strandparx Magdeburg	Magdeburg	fullsize			waketricks
DE	Wakebeach 257	Dormagen	both			waketricks
DE	Wakecity Memmingen	Memmingen	system2			waketricks
DE	Waketoolz	Woerth an der Isar	both			waketricks
IT	Starwake Full Size Cable Wakeboard Park	Porto Fuori	both			waketricks
IT	Sunisland Wake Park	Augusta	system2			waketricks
IT	Turin Wake Park	Mezzi Po	both			waketricks
IT	Wake N Lake Roma	San Cesareo	fullsize			waketricks
IT	Valhalla Wakepark	Valsamoggia	system2			waketricks
IT	Cablu Wakepark	Bologna	system2			waketricks
IT	Wake Park Pontedera	Pontedera	system2			waketricks
IT	Wake Park Mi.Ma	Cervia	system2			waketricks
IT	Wake Park Ivrea	Ivrea	system2			waketricks
IT	Shaka Milano	Milano	system2			waketricks
IT	Oasi Wakepark	Quartu Sant'Elena	system2			waketricks
IT	Cable Milano	Gudo Gambaredo	system2			waketricks
IT	Wakeparadise Milano	Peschiera Borromeo	both			waketricks
IT	Wakegarden cablepark	Ferrara	system2			waketricks
IT	Como Lake Cable	Colico	system2			waketricks
IT	Wakeparadise Montichiari	Montichiari	system2			waketricks
IT	HOT LAKE Cable Park	Manoppello	both			waketricks
IT	WLAKE CLUB	San Giuliano Milanese	both			waketricks
IT	Wallygator Veronello Wakepark	Calmasino	system2			waketricks
IT	Wakeland Arena	Macerata	system2			waketricks
IT	Wakeland Camerano	Camerano	system2			waketricks
IT	Santa Barbara Wakepark	Covo	system2			waketricks
IT	Cable Wakeup	Castel Volturno	system2			waketricks
IT	IPNES Wake Park	Orzivecchi	system2			waketricks
IT	ALP Arona Wakeboard School	Oleggio Castello	system2			waketricks
IT	Veneto Cable Park	Resana	both			waketricks
IT	Green Lake Wakeboard Park	San Martino Buon Albergo	system2			waketricks
IT	Spark Wakepark	Torri di Quartesolo	system2			waketricks
IT	Wake Portici Park	Pastrengo	system2			waketricks
IT	Wakeparadise Brescia	Dello	both			waketricks
IT	Le Bateau Erbatici Wakepark	Mezzana Bigli	system2			waketricks
IT	Bunker Wakepark	Torino	system2			waketricks
IT	Lake Line Wakepark	Vallelaghi	system2			waketricks
IT	Be Wake System	Pur	system2			waketricks
IT	Wakepark Versilia	Massarosa	system2			waketricks
IT	Parco del Tevere Extreme	Roma	system2			waketricks
IT	Slide Lake Sangro	Castel di Sangro	system2			waketricks
ES	Lunar Cable Park	Cuevas del Almanzora	both			waketricks
ES	Cableski Benidorm	Benidorm	fullsize			waketricks
ES	Be Wake Park	Castelldefels	both			waketricks
ES	Cable Ski Marbella	San Pedro de Alcantara	fullsize			waketricks
ES	Cable Ski Madrid	El Espinar	fullsize			waketricks
ES	Oasis Wake Park SPM	Santa Perpetua de Mogoda	system2			waketricks
ES	Mallorca Wakepark	Alcudia	system2			waketricks
ES	El Rancho Wakepark	Riudoms	system2			waketricks
ES	Sevilla Wake Park	Sevilla	system2			waketricks
ES	Wakepark Ttom	Deltebre	system2			waketricks
ES	Wake Park Cazalegas	Cazalegas	system2			waketricks
ES	La Bocana Wake Park	Torrevieja	system2			waketricks
ES	La Cabana Wakepark	Tarragona	system2			waketricks
ES	Fornelos Wake Club	Fornelos de Montes	system2			waketricks
ES	Alpipark	Alpicat	system2			waketricks
ES	Delting Parks	La Rapita	system2			waketricks
PT	Wake Park Lagos	Lagos	system2			waketricks
PT	Furia Cablepark	Sobreira	system2			waketricks
PT	FeelViana Wake Park	Viana do Castelo	system2			waketricks
PT	WPA Wake Park	Ribeira Grande	system2			waketricks
PT	Wakeboard Portugal Aldeia do Mato	Abrantes	system2			waketricks
PT	Wakeboard Portugal Lago Azul	Lagoa Azul	system2			waketricks
PT	Wakeboard Portugal Trizio	Serta	system2			waketricks
PT	Wakeboard Portugal Montes	Casal do Rijo	system2			waketricks
PT	Wakeboard Portugal Fernandaires	Vila de Rei	system2			waketricks
AT	Wakeboardlift Wien	Wien	fullsize			waketricks
AT	Jetlake Feldkirchen	Feldkirchen	fullsize			waketricks
AT	Ausee Cable	Asten	both			waketricks
AT	AREA 47	Oetztal-Bahnhof	fullsize			waketricks
AT	SOS Wakepark Planksee	Wagendorf	fullsize			waketricks
AT	WAKE Stall	Stall	system2			waketricks
AT	Wakeground Klingenbach	Klingenbach	system2			waketricks
AT	PYwakepark	Voesendorf	fullsize			waketricks
AT	Wakebase Schwarzlsee	Unterpremstaetten	both			waketricks
AT	Wakealps Mariazell	Mariazell	system2			waketricks
AT	Waldbad Anif	Anif	system2			waketricks
GB	Let's Go Hydro	Belfast	both			waketricks
GB	Foxlake Adventures	Dunbar	system2			waketricks
GB	Wild Shore Dundee	Dundee	system2			waketricks
GB	The Wake Yard	Glasgow	system2			waketricks
GB	Box End Park	Bedford	fullsize			waketricks
GB	Thorpe Lakes	Chertsey	both			waketricks
GB	Plastic Playground Wake Park	Datchet	both			waketricks
GB	Hannam's Wake Hub	Ely	both			waketricks
GB	New Forest Water Park	Fordingbridge	both			waketricks
GB	Sheffield Cable Waterski & Aqua Park	Sheffield	fullsize			waketricks
GB	WakeUp Docklands	London	system2			waketricks
GB	Whitemills Wake & Aqua Park	Sandwich	both			waketricks
GB	Spring Lakes Watersports	Long Eaton	both			waketricks
GB	North Devon Wake Park	Bideford	both			waketricks
GB	Wild Shore Blackpool	Preston	system2			waketricks
GB	Glasfryn Parc Cable Wakepark	Pwllheli	system2			waketricks
GB	Wild Lakes Wales	Narberth	system2			waketricks
GB	Xtreme Wake	Northampton	system2			waketricks
GB	Curve Water Sports	St Osyth	system2			waketricks
GB	Wild Shore Delamere	Delamere	system2			waketricks
GB	Pier 52 Watersports	Burntwood	system2			waketricks
GB	South Coast Wakepark	Portsmouth	system2			waketricks
GB	Hove Lagoon Watersports	Hove	system2			waketricks
GB	Salford Wake Park	Salford	system2			waketricks
GB	North East Wake Park	Stockton-on-Tees	system2			waketricks
GB	Spot On Wake	Henley-in-Arden	system2			waketricks
GB	North Yorkshire Water Park	Wykeham	system2			waketricks
GB	Quays Watersports	Camberley	system2			waketricks
IE	Ballyhass Wake Park	Mallow	system2			waketricks
SE	Flip'n Fun Wakepark	Skummeslovsstrand	both			waketricks
SE	Fagersta Wakepark	Fagersta	fullsize			waketricks
SE	Vasteras Wake Park	Vasteras	system2			waketricks
SE	Malmo Wake Park	Malmo	system2			waketricks
SE	Skane Wake Park	Limhamn	system2			waketricks
SE	LKPG Wake Park	Linkoping	system2			waketricks
SE	Lagunen Wake Park	Harryda	system2			waketricks
SE	Bromolla Cable Park	Bromolla	system2			waketricks
SE	Halmstad Wakepark	Halmstad	system2			waketricks
SE	Kalmar Wakepark	Kalmar	system2			waketricks
SE	Poppy Park	Ulricehamn	system2			waketricks
SE	Varnamo Wake Park	Varnamo	system2			waketricks
SE	Bengen Wakepark	Knared	system2			waketricks
SE	Surfbukten	Froson	system2			waketricks
SE	Breddas Wakepark	Uddevalla	system2			waketricks
DK	Kabelpark Hvide Sande	Hvide Sande	both			waketricks
DK	Copenhagen Cable Park	Kobenhavn	both			waketricks
DK	Thy Cablepark Cold Hawaii Inland	Thisted	fullsize			waketricks
DK	Herning Havn Cablepark	Herning	both			waketricks
DK	Aalborg Cable Park	Aalborg	system2			waketricks
DK	Aarhus Watersports Complex	Aarhus	system2			waketricks
DK	Cable Fun Struer	Struer	system2			waketricks
DK	Assens Cablepark	Assens	system2			waketricks
DK	Esbjerg Cable Park	Esbjerg	system2			waketricks
DK	Korsor Cable Park	Korsor	system2			waketricks
NO	Norsjo Kabelpark	Akkerhaugen	fullsize			waketricks
NO	Seaside Cablepark Hamar	Hamar	system2			waketricks
NO	Furrebanen Wakeboardpark	Rykene	system2			waketricks
NO	Surf City Tonsberg	Tonsberg	system2			waketricks
NO	Lagen Kabelpark	Kongsberg	system2			waketricks
FI	Halla Wake Park	Hyrynsalmi	fullsize			waketricks
FI	Laguuni Keilis	Espoo	system2			waketricks
FI	Laguuni Hietsu	Helsinki	system2			waketricks
FI	Ridenjoy Wake Park	Helsinki	system2			waketricks
FI	Vanaja Wake & SUP	Hameenlinna	system2			waketricks
FI	Tohloppi Wake	Tampere	system2			waketricks
FI	EPOP Wake	Seinajoki	system2			waketricks
FI	Wake Park Imatra	Imatra	system2			waketricks
FI	Vesiurheilukeskus Laituri	Joensuu	system2			waketricks
FI	Go Vuokatti Wakepark	Vuokatti	system2			waketricks
FI	Oulu Wake Park	Oulu	system2			waketricks
FI	Roiske	Rovaniemi	system2			waketricks
FI	Harjavalta Watersportspark	Harjavalta	system2			waketricks
PL	Wild Wake City	Czestochowa	system2			waketricks
PL	Wakepark Rueda Januszkowice	Januszkowice	both			waketricks
PL	Wake Zone Stawiki	Sosnowiec	both			waketricks
PL	Wake Park Goczalkowice-Zdroj	Goczalkowice-Zdroj	system2			waketricks
PL	Wakepark Krakow	Kryspinow	system2			waketricks
PL	Wake Family Brwinow	Brwinow	both			waketricks
PL	Central Wake Park	Glowno	both			waketricks
PL	Wake & Roll Park	Lodz	system2			waketricks
PL	Lisowice Wake Park	Lisowice	system2			waketricks
PL	Wawa Wake	Bielawa	system2			waketricks
PL	WakePort Kaniow	Kaniow	system2			waketricks
PL	Wakepark Bydgoszcz	Bydgoszcz	system2			waketricks
PL	WakeSpot Owinska	Owinska	system2			waketricks
PL	ALOHA PARK Wakepark Krakow	Krakow	system2			waketricks
PL	WakePark Wroclaw	Wroclaw	system2			waketricks
PL	Wake Park Malta	Poznan	system2			waketricks
PL	WakePoint Bagry	Krakow	system2			waketricks
PL	Wake Park Slawa	Slawa	unknown			waketricks
PL	Wake for Friends	Chrzanow Maly	unknown			waketricks
PL	Wakepark Zalesie	Zalesie Gorne	system2			waketricks
PL	Wake Park Gdansk	Kielno	system2			waketricks
PL	Wakepark Piaski	Ostrow Wielkopolski	unknown			waketricks
PL	WakePark Koszalin	Koszalin	unknown			waketricks
PL	Wake City Steszew	Steszew	system2			waketricks
PL	Wakepark Drzewica	Drzewica	unknown			waketricks
PL	Wakepark Kornik	Kornik	system2			waketricks
PL	Wake Trip Lipnica	Lipnica	system2			waketricks
PL	Wakepark Sierakow	Sierakow	unknown			waketricks
PL	Sloneczna Wake Park	Margonin	unknown			waketricks
PL	WakePark Trzcianka	Trzcianka	unknown			waketricks
PL	Wake Park TBG Jezioro Tarnobrzeskie	Tarnobrzeg	system2			waketricks
PL	Wake Park Nowa Sol	Nowa Sol	unknown			waketricks
PL	Wake Love Konstancin	Konstancin-Jeziorna	unknown			waketricks
PL	Wakepark Tarnow	Radlow	unknown			waketricks
PL	Wake Family Trzciany	Trzciany	system2			waketricks
PL	Wake Up Park Stara Morawa	Stara Morawa	system2			waketricks
PL	Wakepark Skorzecin	Skorzecin	system2			waketricks
PL	WAKEownia Park Chrzastawa	Chrzastawa Wielka	unknown			waketricks
PL	Wake Zone Rzeszow	Czarna	system2			waketricks
PL	Wakepark Gorzow	Klodawa	system2			waketricks
PL	Wake Park Szczecin	Szczecin	system2			waketricks
PL	Wake Farma	Warszawa	system2			waketricks
PL	Wake Park Dobra Energia	Jezierzany	system2			waketricks
PL	Wakepark Ostroda	Ostroda	fullsize			waketricks
PL	Nice Bay Wakepark Olsztyn	Olsztyn	system2			waketricks
PL	Wake Park Skierniewice	Skierniewice	unknown			waketricks
PL	Wakeup Radzymin	Radzymin	system2			waketricks
PL	Wakepark Slesin	Slesin	system2			waketricks
PL	Relaks Lublin	Dabrowica	system2			waketricks
PL	Kuwakawake Pobiedziska	Pobiedziska	system2			waketricks
PL	WakePark Pionki	Pionki	system2			waketricks
PL	Wakepark Szczecinek	Szczecinek	fullsize			waketricks
PL	Waterfun Dojlidy	Bialystok	system2			waketricks
PL	Wake & Skate Park Ksiazenice	Ksiazenice	system2			waketricks
PL	Wakepark Sobotka	Kepice	system2			waketricks
PL	Wakeprojekt Slawutowko	Slawutowko	system2			waketricks
PL	WakeShock Bilgoraj	Bilgoraj	system2			waketricks
CZ	Wake park Hlucin	Hlucin	fullsize			waketricks
CZ	Wake Sport Park Ceska Lipa	Ceska Lipa	system2			waketricks
CZ	Cable Wake Park Straz	Straz pod Ralskem	both			waketricks
CZ	Wake Port Brandys	Brandys nad Labem	fullsize			waketricks
CZ	Ski & Wake Park Terlicko	Terlicko	fullsize			waketricks
CZ	Wakepark Hradec Kralove	Hradec Kralove	both			waketricks
CZ	Wake Park Mercury	Pasohlavky	both			waketricks
CZ	Wake Park Dzban	Praha 6	system2			waketricks
CZ	Wake Point Holoubkov	Holoubkov	system2			waketricks
CZ	Wake Frymburk	Frymburk	system2			waketricks
CZ	Wake Jedovnice	Jedovnice	system2			waketricks
CZ	Wakepark Ceske Budejovice	Ceske Budejovice	system2			waketricks
CZ	WakePark Chomutov	Chomutov	both			waketricks
